payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
1,1,40,secret,100000,6240,0.9999743149901963,0.4109822343194526,47.72353902251695,0.159010648727417
1,1,41,secret,100000,5477,0.9999949628316174,0.25042652061962595,52.02639360916323,0.16301679611206055
1,1,42,secret,100000,5484,0.999991723211281,0.39142147449772885,48.147107027825655,0.1579596996307373
1,1,43,secret,100000,6094,0.9999438108006692,0.5578593385805637,45.06950584846013,0.17501258850097656
1,1,44,secret,100000,5561,0.9999980814393603,0.18502525751319066,54.655379653574634,0.17401337623596191
1,1,45,secret,100000,5485,0.9999921172101348,0.38488133118412776,48.29346308028271,0.16596126556396484
2,0,0,secret,100000,5824,0.9999742332587094,0.33952474821758877,49.382571283480445,0.18364286422729492
2,0,1,secret,100000,5956,0.999980491004955,0.3371265424459322,49.4441410703747,0.20100975036621094
2,0,2,secret,100000,5815,0.999992206922132,0.31578213312492603,50.012248918141836,0.1822338104248047
2,0,3,secret,100000,5980,0.9999914961613667,0.325991212742559,49.73588212801863,0.1592426300048828
2,0,4,secret,100000,6321,0.9999945708249821,0.3011382891424555,50.42468042570741,0.16301798820495605
2,0,5,secret,100000,6068,0.9999989518591609,0.13701821636072795,57.264433804459316,0.1668083667755127
2,0,6,secret,100000,6146,0.9999695843381585,0.36092565869638277,48.85164484514171,0.18500685691833496
2,0,7,secret,100000,6144,0.9999942184197524,0.23279185524444718,52.660644370844295,0.18566489219665527
2,0,8,secret,100000,6265,0.9999785188774645,0.5272403960038888,45.559826448953146,0.17469024658203125
2,0,9,secret,100000,5394,0.9999840379050977,0.12594949233491484,57.99607157349433,0.16501116752624512
2,0,10,secret,100000,6287,0.9999952876398028,0.26532768058813416,51.524348788549304,0.1677098274230957
2,0,11,secret,100000,6165,0.9999902593049405,0.43500662610339946,47.230082554781916,0.16801881790161133
2,0,12,secret,100000,5443,0.9999923466224623,0.2071868709152307,53.67275537136655,0.16001129150390625
2,0,13,secret,100000,5842,0.9999979486485918,0.10774062032966251,59.35241056559637,0.17364192008972168
2,0,14,secret,100000,5750,0.999986370180183,0.1389747770023333,57.1412802830766,0.17701220512390137
2,0,15,secret,100000,6165,0.9999936359902891,0.11957799198803101,58.446974874788324,0.1644763946533203
2,0,16,secret,100000,5750,0.999996694870379,0.12738145094740133,57.89787617120513,0.16491937637329102
2,0,17,secret,100000,5345,0.9999863203890488,0.14825847398314337,56.57960948724128,0.16222929954528809
2,0,18,secret,100000,6235,0.9999935599042575,0.14375318768966,56.84765032328073,0.18842554092407227
2,0,19,secret,100000,5790,0.9999913727962059,0.13323834157426379,57.50741563274065,0.19872021675109863
2,0,20,secret,100000,5383,0.9999951405309102,0.13480379321465305,57.40595774221357,0.18273663520812988
2,0,21,secret,100000,6030,0.9999959793035524,0.2716746782833546,51.319016771155816,0.18001103401184082
2,0,22,secret,100000,5728,0.9999815303524131,0.45041503840582314,46.92774235480229,0.17057251930236816
2,0,23,secret,100000,6208,0.9999841958004045,0.5638132352803065,44.97729466926219,0.1710364818572998
2,0,24,secret,100000,6946,0.9999958964002804,0.2804393697288185,51.04322035221308,0.1859292984008789
2,0,25,secret,100000,5239,0.9999807874589931,0.2795616821543239,51.07044709982471,0.2163534164428711
2,0,26,secret,100000,6090,0.9999912351383192,0.3470294563631962,49.19267320198975,0.1927647590637207
2,0,27,secret,100000,6377,0.9999969506953768,0.24248779042739124,52.30620247595627,0.16124510765075684
