model_name,payload_rate,threshold,index_signal,secret_name,len_secret_data,len_extracted_secret_data,ncc,prd,snr,time
SVR 2.0,1,0,11,secret_0.66_bps,2376,2376,0.9999979413894116,0.1994700934878477,54.002444175666334,2.7665913105010986
SVR 2.0,1,0,11,secret_0.51_bps,1836,1836,0.9999985116589666,0.16953300179287065,55.41491496379696,2.158957004547119
SVR 2.0,1,0,11,secret_0.48_bps,1728,1728,0.999998582183882,0.1654472688168463,55.62680795449634,2.0333707332611084
SVR 2.0,1,0,11,secret_0.39_bps,1404,1404,0.9999988187500021,0.15103200201434627,56.41862041497259,1.643068552017212
SVR 2.0,1,0,11,secret_0.32_bps,1152,1152,0.9999990513103104,0.13532814133190352,57.37223765942454,1.3669660091400146
SVR 2.0,1,0,11,secret_0.21_bps,756,756,0.9999993569465421,0.11142494979625031,59.06035105835897,0.8896455764770508
SVR 2.0,1,0,11,secret_0.15_bps,540,540,0.9999995173203416,0.09653903999999164,60.30594048382473,0.6436145305633545
SVR 2.0,1,0,11,secret_0.08_bps,288,288,0.999999753569797,0.06897574296539098,63.226072257270786,0.35500168800354004
SVR 2.0,1,0,12,secret_0.99_bps,3564,3037,0.9999975818873965,0.11539764018228345,58.756061443413614,3.6823198795318604
SVR 2.0,1,0,12,secret_0.66_bps,2376,2376,0.9999981367418588,0.10130245315534533,59.887600751445966,2.8777005672454834
SVR 2.0,1,0,12,secret_0.51_bps,1836,1836,0.9999985392740008,0.08970550433376157,60.943618156189046,2.2254765033721924
SVR 2.0,1,0,12,secret_0.48_bps,1728,1728,0.9999986082848776,0.0875577270214921,61.15411042285789,2.097543478012085
SVR 2.0,1,0,12,secret_0.39_bps,1404,1404,0.9999988977724118,0.0779374467290448,62.16507652043035,1.6988258361816406
SVR 2.0,1,0,12,secret_0.32_bps,1152,1152,0.9999990889966491,0.07084213067071671,62.99416770609903,1.39658522605896
SVR 2.0,1,0,12,secret_0.21_bps,756,756,0.9999994265116262,0.05619841281133883,65.00551899716365,0.913149356842041
SVR 2.0,1,0,12,secret_0.15_bps,540,540,0.9999995866168746,0.04779468254551247,66.41240837303009,0.6533808708190918
SVR 2.0,1,0,12,secret_0.08_bps,288,288,0.999999783383749,0.03455549838875968,69.22965677771603,0.3400390148162842
SVR 2.0,1,0,13,secret_0.99_bps,3564,3394,0.9999993504538132,0.059866196615661414,64.45636664643988,3.6961405277252197
SVR 2.0,1,0,13,secret_0.66_bps,2376,2376,0.9999995501578566,0.04985595701977456,66.04565885486952,2.5861196517944336
SVR 2.0,1,0,13,secret_0.51_bps,1836,1836,0.9999996601842308,0.043311624993105396,67.26791043655544,1.9872796535491943
SVR 2.0,1,0,13,secret_0.48_bps,1728,1728,0.9999996690499069,0.042768665778144754,67.37748595779459,1.874084234237671
SVR 2.0,1,0,13,secret_0.39_bps,1404,1404,0.9999997345043684,0.03828676492157069,68.33902656495857,1.5322864055633545
SVR 2.0,1,0,13,secret_0.32_bps,1152,1152,0.9999997848251388,0.03446117096181943,69.2533993934669,1.256897211074829
SVR 2.0,1,0,13,secret_0.21_bps,756,756,0.9999998564234222,0.02815000927545183,71.01042915424426,0.8144040107727051
SVR 2.0,1,0,13,secret_0.15_bps,540,540,0.9999998941306045,0.024170769304249856,72.33419053402851,0.5844190120697021
SVR 2.0,1,0,13,secret_0.08_bps,288,288,0.9999999464805864,0.017184287361904253,75.29736946979018,0.31425952911376953
SVR 2.0,1,0,14,secret_0.99_bps,3564,3122,0.999996050270909,0.07449690563524952,62.55723532179809,3.70168137550354
SVR 2.0,1,0,14,secret_0.66_bps,2376,2376,0.9999969046802427,0.06589546814340427,63.62288904590108,2.8095359802246094
SVR 2.0,1,0,14,secret_0.51_bps,1836,1836,0.9999976525810725,0.05739092604818668,64.82313535020016,2.1782758235931396
SVR 2.0,1,0,14,secret_0.48_bps,1728,1728,0.9999977819473393,0.05579375868615397,65.06828760539359,2.068229913711548
SVR 2.0,1,0,14,secret_0.39_bps,1404,1404,0.9999981651387242,0.050736913120494664,65.89351918356158,1.6946289539337158
SVR 2.0,1,0,14,secret_0.32_bps,1152,1152,0.9999985800472111,0.044633386891686236,67.00680313141228,1.3795828819274902
